UniProt,Position,Target
O15042,634,P
O15042,817,P
O15042,833,P
Q16478,355,P
Q16478,891,P
P32927,466,P
P32927,468,P
P32927,593,P
P32927,628,P
P32927,711,P
P32927,766,P
P32927,822,P
P32927,882,P
O75121,287,P
O75121,405,P
Q9UMY1,172,P
O94916,28,P
O94916,143,P
O94916,235,P
P02675,71,P
P02675,172,P
P02675,182,P
P02675,255,P
P02675,266,P
P02675,269,P
P02675,299,P
P02675,315,P
P02675,356,P
P02675,368,P
P02675,408,P
P02675,475,P
Q8NI17,460,P
Q8NI17,708,P
Q9BZE4,38,P
Q9BZE4,124,P
Q9BZE4,150,P
Q9BZE4,409,P
Q9BZE4,441,P
Q9BZE4,466,P
Q9BZE4,539,P
O00750,34,P
O00750,68,P
O00750,127,P
O00750,228,P
O00750,293,P
O00750,1056,P
O00750,1401,P
O00750,1541,P
Q8N6S5,28,P
A2CJ06,17,P
A2CJ06,414,P
Q96PE3,355,P
Q96PE3,427,P
Q96PE3,481,P
Q96PE3,951,P
Q96PE3,965,P
Q96PE3,972,P
Q76FK4,55,P
Q76FK4,376,P
Q9UNQ0,464,P
Q9NPB9,256,P
Q9NPB9,269,P
Q9NPB9,313,P
Q9NPB9,321,P
P61925,8,P
A6NHP3,224,P
A6NHP3,243,P
P07602,89,P
P07602,113,P
P07602,180,P
P07602,418,P
Q9BXS0,585,P
Q8N4P2,19,P
Q8N4P2,56,P
Q8N4P2,475,P
P61966,20,P
P61966,87,P
P61966,94,P
Q9H4M7,159,P
Q9H4M7,332,P
O43292,330,P
Q96KX0,63,P
A2RUU4,30,P
O95789,514,P
P09871,486,P
P09871,648,P
P09871,662,P
O75077,119,P
O75077,129,P
O75077,396,P
O75077,403,P
O75077,707,P
Q14166,308,P
Q14166,403,P
Q14166,452,P
Q14166,508,P
Q14166,517,P
P09661,15,P
P09661,117,P
P09661,131,P
P09661,137,P
Q9Y4A5,862,P
Q9Y4A5,914,P
Q9Y4A5,1007,P
Q9Y4A5,1437,P
Q9Y4A5,3122,P
Q9Y4A5,3183,P
Q9Y4A5,3526,P
Q9Y4A5,3709,P
Q9BQG2,91,P
Q9BQG2,181,P
Q9BQG2,187,P
O15254,74,P
O15254,286,P
Q9BYV6,61,P
P46093,43,P
P46093,251,P
Q9Y5V3,92,P
Q9Y5V3,126,P
Q9Y5V3,161,P
Q9Y5V3,481,P
Q9Y5V3,505,P
Q9Y5V3,630,P
Q96T17,216,P
Q96T17,301,P
Q96T17,319,P
Q8IZF3,500,P
Q8NBP0,402,P
Q96EY4,127,P
Q9NVR2,281,P
Q9NVR2,306,P
Q9NVR2,312,P
Q9NVR2,424,P
Q9NVR2,458,P
Q9NVR2,462,P
Q9BZD4,37,P
Q9BZD4,388,P
Q9HCB6,43,P
Q9HCB6,58,P
Q9HCB6,78,P
Q9HCB6,170,P
Q9UBU8,123,P
Q9UBU8,236,P
Q9UBU8,239,P
Q9C0D7,162,P
Q9C0D7,418,P
Q9C0D7,596,P
Q8N806,92,P
Q8N806,376,P
Q8N806,422,P
Q8N806,423,P
O15212,16,P
O15212,82,P
Q9NWZ8,77,P
Q9NWZ8,171,P
Q9NWZ8,179,P
Q9NWZ8,234,P
P17568,29,P
P17568,89,P
O75529,422,P
Q9UGU5,83,P
Q9UGU5,85,P
P55107,86,P
Q9UPV9,754,P
Q92823,318,P
Q92823,714,P
Q92823,739,P
Q92823,881,P
Q92823,1225,P
Q92823,1276,P
Q9Y388,280,P
Q86UX7,11,P
Q86UX7,162,P
Q86UX7,436,P
Q86UX7,504,P
C9JH25,762,P
Q8TEP8,486,P
Q8WXI2,434,P
Q8WXI2,452,P
Q8WXI2,683,P
Q8WXI2,821,P
Q8WXI2,913,P
Q9P286,159,P
Q9P286,160,P
Q9P286,182,P
Q9P286,272,P
Q9P286,350,P
Q8IZD6,253,P
Q8IZD6,266,P
Q9BS18,26,P
P25391,337,P
P25391,490,P
P25391,683,P
P25391,890,P
P25391,1439,P
P25391,2475,P
P17040,402,P
P17040,710,P
P17040,738,P
Q86VW0,258,P
Q86VW0,261,P
Q86VW0,651,P
Q86VW0,658,P
P10911,510,P
P10911,787,P
P21580,306,P
P21580,614,P
P21580,631,P
P21580,673,P
P21580,778,P
Q8WXW3,503,P
Q9UKG9,35,P
Q9UKG9,387,P
Q9UKG9,428,P
Q9UKG9,429,P
Q96RF0,78,P
Q96RF0,176,P
Q96RF0,193,P
Q96RF0,274,P
Q8N5C7,255,P
Q8N5C7,261,P
Q8N5C7,270,P
Q9H553,281,P
Q9H553,410,P
P53674,131,P
Q8N4C9,83,P
Q9NYQ7,821,P
Q9NYQ7,1198,P
Q9NYQ7,1208,P
Q9NYQ7,2126,P
Q9NYQ7,3017,P
Q9NYQ7,3051,P
P28358,273,P
P28358,290,P
Q9H6R4,372,P
Q9UGQ3,297,P
A6NGA9,25,P
Q01118,72,P
Q01118,397,P
Q01118,990,P
Q01118,1532,P
Q8N184,491,P
Q8N184,589,P
Q8N184,617,P
Q9NUN5,232,P
P51956,273,P
Q9UMD9,40,P
Q9UMD9,64,P
Q9UMD9,80,P
Q9UMD9,109,P
Q9UMD9,305,P
Q9UMD9,396,P
Q9UMD9,512,P
Q9UMD9,1395,P
O00570,2,P
O15530,9,P
O15530,156,P
O15530,161,P
O15530,248,P
O15530,288,P
O15530,373,P
O15530,376,P
O15530,485,P
O15530,486,P
Q9UKY4,95,P
Q9UKY4,96,P
Q9UKY4,376,P
Q8TF44,148,P
Q6UN15,27,P
Q6UN15,110,P
Q6UN15,113,P
Q6UN15,129,P
Q6UN15,175,P
Q6UN15,178,P
Q6UN15,299,P
Q6UN15,426,P
Q6UN15,453,P
Q6UN15,454,P
Q6UN15,505,P
Q6UN15,510,P
Q6UN15,515,P
Q5VWQ8,610,P
Q5VWQ8,729,P
Q5VWQ8,833,P
Q5VWQ8,945,P
Q5VWQ8,1059,P
A8MXV4,345,P
A8MXV4,360,P
Q9Y2H8,379,P
Q9Y2H8,386,P
Q16566,32,P
Q3SYG4,495,P
Q3SYG4,508,P
Q15013,91,P
Q15013,98,P
Q15013,232,P
P13056,208,P
P13056,392,P
P13056,529,P
O43189,156,P
O43189,169,P
O43189,260,P
Q86UE4,364,P
Q6P3R8,362,P
Q6P3R8,477,P
Q9UNH5,84,P
Q9UNH5,591,P
Q9NS91,56,P
Q96RL6,668,P
P48307,57,P
P48307,77,P
Q9BYT3,116,P
Q9BYT3,439,P
Q9BYT3,500,P
Q6UXY8,16,P
Q6UXY8,19,P
Q6UXY8,29,P
Q6UXY8,35,P
Q6UXY8,47,P
Q6UXY8,55,P
Q6UXY8,65,P
Q6UXY8,74,P
Q6UXY8,83,P
Q6UXY8,91,P
Q6UXY8,110,P
Q6UXY8,118,P
Q6UXY8,128,P
Q6UXY8,146,P
Q6UXY8,163,P
Q6UXY8,782,P
Q9BVI4,143,P
Q9BVI4,174,P
Q9BVI4,323,P
Q9BVI4,327,P
Q9BVI4,343,P
Q8NG27,316,P
Q8NG27,360,P
Q8NG27,440,P
Q6YHU6,544,P
Q6YHU6,548,P
Q6YHU6,549,P
Q6YHU6,563,P
Q6YHU6,701,P
Q6YHU6,1003,P
Q6YHU6,1230,P
P35250,34,P
P35250,161,P
P35250,190,P
Q4KMP7,269,P
Q4KMP7,307,P
Q4KMP7,315,P
Q4KMP7,577,P
Q4KMP7,807,P
Q9UIC8,118,P
Q7Z7A4,56,P
Q7Z7A4,163,P
P55809,115,P
P55809,126,P
P55809,174,P
P55809,407,P
Q9UBG3,132,P
Q9UBG3,487,P
Q9UBG3,489,P
Q15185,14,P
Q7Z7C7,77,P
Q9GZT4,207,P
Q9GZT4,218,P
Q5T5X7,132,P
Q5T5X7,153,P
Q5T5X7,246,P
Q5T5X7,499,P
Q5T5X7,617,P
Q5T5X7,622,P
Q5T5X7,654,P
O60884,330,P
O60884,391,P
Q9Y5Y0,22,P
Q8NBW4,70,P
Q8NBW4,71,P
Q8NBW4,96,P
Q8NBW4,98,P
Q8NBW4,105,P
Q8NBW4,324,P
Q15147,623,P
Q15147,721,P
Q12805,33,P
Q12805,397,P
P00540,79,P
P00540,263,P
Q9Y4D2,62,P
Q9Y4D2,370,P
Q9Y4D2,378,P
Q9Y2K9,248,P
P26641,24,P
P26641,145,P
P26641,416,P
Q6R2W3,249,P
Q6R2W3,300,P
Q6R2W3,1299,P
Q9NQV7,181,P
Q9NQV7,191,P
Q2QL34,183,P
Q2QL34,193,P
P30556,26,P
P30556,302,P
P30556,312,P
P30556,319,P
Q15047,230,P
Q15047,259,P
Q15047,434,P
Q15047,627,P
Q15047,673,P
Q15047,677,P
Q15047,678,P
Q15047,779,P
Q15047,1063,P
Q02153,192,P
Q02153,540,P
Q02153,567,P
P84090,36,P
P84090,79,P
P84090,82,P
P84090,92,P
P35228,151,P
P35228,267,P
P35228,270,P
P35228,446,P
P35228,451,P
P35228,575,P
P35228,868,P
P35228,1055,P
P35228,1123,P
P35228,1134,P
Q64LD2,176,P
Q64LD2,459,P
Q64LD2,475,P
Q8TDN2,194,P
Q9GZQ6,216,P
Q9GZQ6,225,P
Q9GZQ6,236,P
Q96G01,52,P
Q96G01,300,P
Q96G01,406,P
Q96G01,448,P
Q96G01,455,P
Q96G01,537,P
Q96G01,538,P
Q96G01,713,P
Q9BY12,497,P
Q9BY12,781,P
Q9BY12,788,P
Q9BY12,994,P
Q9BY12,1208,P
Q86XP3,160,P
Q86XP3,163,P
Q86XP3,183,P
Q86XP3,682,P
Q86XP3,707,P
Q86XP3,844,P
Q9UBW7,502,P
Q9UBW7,557,P
Q9UBW7,595,P
Q9UBW7,605,P
Q9UBW7,680,P
Q9UBW7,683,P
Q9UBW7,712,P
Q9UBW7,729,P
Q9UBW7,800,P
Q9UBW7,862,P
Q9UBW7,1033,P
Q9UBW7,1054,P
Q9UBW7,1221,P
P19075,122,P
Q14CM0,327,P
Q14CM0,445,P
Q14CM0,596,P
Q14CM0,601,P
Q14CM0,716,P
Q14CM0,1094,P
Q9H7D0,106,P
Q9H7D0,122,P
Q9H7D0,1288,P
Q9H7D0,1291,P
Q9H7D0,1349,P
Q9H7D0,1637,P
Q9H7D0,1661,P
Q9H7D0,1827,P
O95263,521,P
Q5U649,157,P
Q9H628,33,P
Q9H628,41,P
P35452,101,P
P35452,137,P
P35452,139,P
Q9BZL4,239,P
Q15738,164,P
Q15738,171,P
Q15738,172,P
Q15738,288,P
Q15738,349,P
Q9H511,271,P
Q9H511,422,P
Q6ZWB6,265,P
Q6ZWB6,270,P
O75533,38,P
O75533,39,P
O75533,44,P
O75533,70,P
O75533,84,P
O75533,101,P
O75533,119,P
O75533,152,P
O75533,421,P
O75533,474,P
O75533,761,P
O75533,764,P
O75533,1136,P
O75533,1288,P
O75533,1295,P
O75533,1302,P
O95390,336,P
O95390,340,P
O95390,347,P
P48146,126,P
P48146,133,P
P48146,143,P
P54274,243,P
P53779,223,P
O60678,87,P
O60678,248,P
O60678,387,P
Q9UPQ4,169,P
Q06187,40,P
Q06187,223,P
Q06187,225,P
Q06187,263,P
Q06187,279,P
Q06187,334,P
Q06187,344,P
Q06187,345,P
Q06187,361,P
Q06187,375,P
Q06187,461,P
Q06187,511,P
Q06187,551,P
Q06187,617,P
Q6NSX1,125,P
Q9P1Z9,294,P
Q9P1Z9,301,P
Q9P1Z9,313,P
Q9P1Z9,613,P
Q9P1Z9,1427,P
Q86TC9,85,P
Q86TC9,260,P
Q86TC9,261,P
Q86TC9,1017,P
Q86TC9,1284,P
P10515,52,P
P10515,271,P
Q9BS26,135,P
Q9BS26,166,P
Q9BS26,395,P
Q96RY7,216,P
Q96RY7,602,P
Q96RY7,1014,P
Q70UQ0,76,P
Q99665,800,P
Q9H4X1,53,P
P0C875,137,P
Q7Z5L7,152,P
P07320,7,P
Q9NX95,131,P
Q9NX95,358,P
Q969P0,136,P
Q969P0,234,P
Q9BW85,11,P
Q9BW85,31,P
Q9BW85,49,P
Q9BW85,51,P
Q9BW85,313,P
O15013,239,P
O15013,629,P
O15013,640,P
O15013,710,P
O15013,1036,P
O15013,1307,P
P16066,927,P
Q9HBG7,309,P
Q9HBG7,508,P
Q9HBG7,515,P
Q9HBG7,560,P
Q9HBG7,583,P
Q9HBG7,589,P
Q9HBG7,603,P
Q9HBG7,626,P
Q9HBG7,651,P
Q9UNP4,35,P
Q9UNP4,99,P
Q9NXJ0,261,P
Q9BX67,282,P
Q9BX67,293,P
P35269,14,P
P35269,57,P
Q8N7Z5,406,P
Q8N7Z5,679,P
Q8N7Z5,681,P
Q8N7Z5,682,P
Q8WWF8,170,P
O76054,36,P
O76054,241,P
O76054,260,P
O76054,268,P
O76054,278,P
O76054,294,P
O76054,361,P
O76054,369,P
P42166,127,P
P42166,183,P
P0CW19,51,P
P0CW19,58,P
Q99496,120,P
Q99496,247,P
Q99496,262,P
Q96SB8,154,P
Q96SB8,223,P
Q96SB8,225,P
Q96SB8,780,P
Q96SB8,902,P
P21964,82,P
P21964,180,P
P21964,244,P
P21964,262,P
Q9H9A6,249,P
Q9H9A6,329,P
B9EJG8,244,P
Q9NWS1,347,P
Q8IZF0,497,P
Q8IZF0,923,P
Q8IZF0,1298,P
Q8IZF0,1362,P
Q68D10,143,P
Q68D10,597,P
Q68D10,630,P
Q68D10,636,P
Q68D10,640,P
P46782,38,P
P46782,45,P
P46782,48,P
P46782,56,P
P46782,188,P
Q86T90,220,P
Q5VT25,444,P
Q5VT25,474,P
Q5VT25,1510,P
Q5VT25,1544,P
Q9UQB3,292,P
Q9UQB3,372,P
Q9UQB3,380,P
Q9UQB3,399,P
Q9UQB3,424,P
Q9UQB3,429,P
Q9UQB3,499,P
Q9UQB3,503,P
Q9UQB3,508,P
Q9UQB3,516,P
Q9UQB3,932,P
Q9UQB3,1090,P
Q9UQB3,1099,P
Q9UQB3,1154,P
Q9UQB3,1157,P
Q9UQB3,1197,P
Q9UQB3,1201,P
Q9UQB3,1207,P
Q9UQB3,1217,P
Q13422,293,P
Q13422,299,P
Q13422,321,P
Q13422,348,P
Q13422,413,P
Q13422,435,P
Q9Y534,105,P
Q12906,22,P
Q12906,365,P
Q12906,579,P
Q12906,665,P
Q12906,672,P
Q12906,675,P
Q12906,677,P
Q12906,764,P
Q12906,767,P
Q12906,777,P
Q12906,784,P
Q12906,786,P
Q12906,790,P
Q12906,801,P
Q12906,803,P
Q12906,809,P
Q12906,821,P
Q12906,828,P
Q12906,836,P
Q12906,846,P
Q12906,853,P
Q12906,858,P
Q12906,867,P
Q12906,874,P
Q12906,891,P
Q12906,893,P
Q02641,31,P
Q02641,63,P
Q02641,447,P
Q6ZVN8,46,P
Q16774,53,P
Q16774,54,P
Q16774,178,P
Q9HBW1,186,P
Q9UBB9,51,P
Q9UBB9,162,P
Q9UBB9,193,P
Q9UBB9,240,P
Q9UBB9,279,P
Q9UBB9,280,P
Q9UBB9,282,P
Q9UBB9,722,P
Q9UBB9,745,P
Q9Y6R9,89,P
Q9H8X9,106,P
Q92541,312,P
Q92541,400,P
Q92541,562,P
Q03393,128,P
Q9Y297,474,P
Q9Y297,600,P
Q9Y297,602,P
Q8IVL8,238,P
Q8IVL8,246,P
Q8IVL8,248,P
Q8IVL8,278,P
Q9H095,210,P
Q3ZCW2,32,P
Q9BRY0,133,P
Q9BRY0,147,P
Q9NVA1,209,P
Q9H078,322,P
Q9Y2F9,318,P
Q9Y2F9,422,P
P52292,203,P
P52292,225,P
Q01968,133,P
Q01968,234,P
Q01968,390,P
Q01968,838,P
O75095,93,P
O75095,96,P
O75095,100,P
Q5ZPR3,307,P
Q96IZ7,62,P
Q96IZ7,76,P
Q12802,604,P
Q12802,1512,P
Q12802,1676,P
Q12802,2115,P
Q12802,2205,P
Q12802,2269,P
P08908,205,P
P08908,215,P
A6NDV4,372,P
P42345,110,P
P42345,861,P
P42345,1188,P
P42345,1232,P
P42345,1804,P
P42345,1880,P
P42345,2449,P
O95498,158,P
O95498,161,P
O43776,393,P
O43776,539,P
Q92620,145,P
Q92620,272,P
Q9UK58,289,P
Q9UK58,376,P
Q9UK58,422,P
Q8TB37,109,P
Q9HA64,285,P
Q9HA64,296,P
Q75T13,601,P
Q75T13,610,P
Q75T13,637,P
P24394,497,P
P24394,575,P
P24394,603,P
P24394,631,P
P24394,713,P
P24394,821,P
Q5SRE5,181,P
Q5SRE5,718,P
Q5SRE5,1413,P
Q5SRE5,1660,P
Q8WVM7,162,P
Q8WVM7,689,P
Q8WVM7,893,P
Q8WVM7,896,P
Q8WVM7,897,P
Q8WVM7,900,P
Q8WVM7,1025,P
Q8N131,184,P
Q8N131,190,P
Q8N131,191,P
Q8N131,198,P
Q8WY64,4,P
Q8WY64,323,P
O95206,879,P
O95206,1003,P
O95206,1004,P
O95206,1026,P
O95206,1052,P
Q9BWG6,76,P
Q9BWG6,193,P
Q5HYW2,69,P
Q5HYW2,152,P
Q5HYW2,399,P
Q5HYW2,457,P
Q5HYW2,895,P
Q5HYW2,1217,P
Q9Y263,8,P
Q9Y263,477,P
Q9Y263,523,P
O15399,581,P
O15399,732,P
O15399,736,P
O15399,758,P
O15399,765,P
Q9NX31,275,P
Q9NX31,276,P
P51570,236,P
Q8IZ96,110,P
Q9Y4E8,89,P
Q9Y4E8,104,P
Q9Y4E8,263,P
Q9Y4E8,268,P
Q9Y4E8,271,P
Q9Y4E8,274,P
Q9Y4E8,276,P
Q9Y4E8,607,P
Q9Y4E8,726,P
Q9Y4E8,875,P
Q9Y4E8,926,P
O95258,276,P
Q9BYC9,39,P
Q9BYC9,108,P
P19484,95,P
P19484,100,P
P23352,179,P
P23352,217,P
P23352,259,P
P23352,579,P
Q96BR5,78,P
Q6IE81,507,P
Q6MZZ7,456,P
Q6MZZ7,509,P
Q6MZZ7,573,P
Q6MZZ7,656,P
Q6MZZ7,668,P
Q96P31,133,P
Q96P31,134,P
Q96P31,161,P
Q96P31,166,P
Q96P31,650,P
Q96P31,662,P
Q96P31,692,P
Q96P31,722,P
Q14242,357,P
Q16186,22,P
Q16186,127,P
Q96CG3,105,P
Q96CG3,113,P
O43247,225,P
Q9UPM8,229,P
Q9UPM8,398,P
Q9UPM8,662,P
Q9UPM8,830,P
Q9UPM8,831,P
Q96MT7,197,P
Q96MT7,833,P
Q96MT7,858,P
Q96MT7,1580,P
Q9Y6Q2,628,P
Q9BXS4,277,P
Q9BXS4,291,P
Q9UKM9,57,P
Q9UKM9,62,P
Q9UKM9,109,P
Q9UKM9,112,P
Q9UKM9,118,P
Q9UKM9,124,P
O00555,12,P
O00555,1420,P
O00555,1423,P
Q9UBN4,14,P
Q9UBN4,523,P
Q9UBN4,538,P
Q9UBN4,541,P
Q9UBN4,624,P
Q9UBN4,706,P
Q9UBN4,959,P
Q9UBN4,972,P
P23510,56,P
Q5THJ4,17,P
Q5THJ4,132,P
Q5THJ4,661,P
Q5THJ4,768,P
Q5THJ4,1685,P
Q5THJ4,1758,P
Q5THJ4,2175,P
Q5THJ4,2812,P
Q5THJ4,2823,P
Q5THJ4,2873,P
Q5THJ4,3391,P
Q5THJ4,3403,P
Q5THJ4,3695,P
Q5THJ4,3803,P
Q5THJ4,3927,P
O15156,471,P
Q9NZL9,186,P
P00797,87,P
Q5HYI8,85,P
Q5HYI8,130,P
Q5HYI8,185,P
Q5HYI8,235,P
A8MU46,473,P
O75694,926,P
O75694,1084,P
O75694,1085,P
P35240,177,P
Q92772,15,P
Q7L2E3,76,P
Q7L2E3,622,P
Q7L2E3,961,P
Q7L2E3,968,P
Q13627,111,P
Q13627,112,P
Q13627,136,P
Q13627,140,P
Q13627,145,P
Q13627,147,P
Q13627,159,P
Q13627,177,P
Q13627,219,P
Q13627,319,P
Q13627,321,P
Q13627,449,P
Q13627,705,P
Q9Y573,239,P
Q9Y573,289,P
Q9Y573,291,P
Q9Y573,296,P
Q6P1R3,348,P
Q6P1R3,427,P
O43290,102,P
O43290,249,P
O43290,316,P
O43290,390,P
O43290,673,P
O43290,685,P
O43290,712,P
O43290,783,P
Q96NC0,21,P
Q96NC0,54,P
Q96NC0,140,P
P01303,48,P
P01303,49,P
P01303,55,P
P00480,55,P
P00480,223,P
P00480,284,P
P00480,317,P
Q9P0U4,28,P
Q9P0U4,218,P
Q9P0U4,405,P
Q9P0U4,509,P
Q9NRN5,129,P
Q9NRN5,369,P
P24522,41,P
P78317,107,P
P78317,189,P
Q96B01,13,P
Q96PU9,30,P
Q96PU9,93,P
Q96PU9,106,P
Q96PU9,200,P
C9JQI7,209,P
Q9GZZ1,31,P
Q9GZZ1,73,P
Q9GZZ1,110,P
Q9GZZ1,139,P
P50579,137,P
P50579,182,P
P50579,320,P
P48556,315,P
P48556,316,P
P29372,71,P
P29372,75,P
P29372,278,P
P15172,30,P
P15172,213,P
Q8NB16,218,P
Q8NB16,222,P
Q8NCK3,242,P
Q96SM3,198,P
Q96SM3,329,P
Q96SM3,536,P
O95461,295,P
O95461,558,P
O95461,570,P
O95461,573,P
O95461,575,P
O95461,602,P
P55157,511,P
Q8WUH2,444,P
Q8WUH2,593,P
Q15904,313,P
Q6PCE3,146,P
Q6PCE3,159,P
Q9P021,50,P
Q3KQU3,211,P
P18054,295,P
P18054,395,P
O43861,25,P
O43861,26,P
O43861,69,P
O43861,418,P
O43861,464,P
O43861,655,P
O43861,1132,P
Q99590,962,P
Q99590,1161,P
Q99590,1162,P
Q99590,1395,P
Q9UEU0,84,P
Q9UEU0,112,P
Q9UEU0,115,P
Q9UEU0,225,P
Q9BXL5,177,P
Q9BXL5,323,P
Q9BXL5,352,P
Q9BXL5,399,P
Q9BXL5,449,P
Q9BXL5,479,P
Q709C8,306,P
Q709C8,310,P
Q709C8,389,P
Q709C8,827,P
Q709C8,966,P
Q709C8,1283,P
Q709C8,1473,P
Q709C8,2032,P
Q709C8,3252,P
Q709C8,3498,P
Q86VZ1,127,P
Q86VZ1,139,P
Q86VZ1,272,P
Q86T24,442,P
Q86T24,484,P
Q86T24,562,P
Q86T24,599,P
P23458,3,P
P23458,217,P
P23458,220,P
P23458,412,P
P23458,507,P
P23458,568,P
P23458,605,P
P23458,967,P
P23458,993,P
P23458,1034,P
P23458,1035,P
P23458,1125,P
P30043,146,P
P30043,194,P
P30043,205,P
P23526,100,P
P23526,143,P
P23526,193,P
P23526,221,P
P23526,379,P
P23526,416,P
P23526,430,P
Q92833,338,P
Q92833,349,P
Q92833,815,P
Q9NSU2,183,P
P04083,21,P
P04083,39,P
P04083,84,P
P04083,156,P
P04083,207,P
P04083,230,P
P04083,240,P
P04083,335,P
Q9BRH9,658,P
Q6ZN55,183,P
Q6ZN55,605,P
Q9H8P0,189,P
Q6P4I2,15,P
Q13201,275,P
Q08752,246,P
Q08752,252,P
Q08752,323,P
Q08752,365,P
P48740,395,P
P48740,401,P
Q9Y6Q3,405,P
Q9Y6Q3,416,P
Q9NT99,211,P
Q9NT99,665,P
P49448,53,P
P49448,135,P
P49448,170,P
P49448,439,P
P49448,451,P
P49448,528,P
P49448,539,P
P17275,47,P
P17275,68,P
P17275,109,P
P17275,111,P
P17275,173,P
P17275,182,P
P17275,188,P
Q9H2F5,175,P
P01241,68,P
Q9Y239,129,P
Q687X5,225,P
P09601,55,P
P09601,58,P
P09601,114,P
P09601,137,P
P09601,286,P
B0FP48,249,P
Q13480,47,P
Q13480,48,P
Q13480,83,P
Q13480,183,P
Q13480,242,P
Q13480,259,P
Q13480,265,P
Q13480,285,P
Q13480,307,P
Q13480,317,P
Q13480,373,P
Q13480,406,P
Q13480,447,P
Q13480,472,P
Q13480,589,P
Q13480,627,P
Q13480,659,P
O15084,1003,P
Q9BVP2,194,P
Q9BVP2,542,P
Q9BVP2,548,P
Q70Z53,7,P
Q70Z53,84,P
Q70Z53,88,P
Q6P2H8,58,P
Q6P2H8,68,P
Q99943,275,P
Q9NP79,278,P
Q9NP79,285,P
A2RUC4,48,P
A2RUC4,187,P
A2RUC4,189,P
A2RUC4,293,P
A6NGG8,273,P
Q8IUH5,39,P
Q8IUH5,43,P
Q8IUH5,56,P
Q8IUH5,67,P
Q8IUH5,70,P
Q8IUH5,81,P
Q8IUH5,286,P
Q8IUH5,335,P
Q8IUH5,503,P
Q8IUH5,629,P
Q96MU6,337,P
Q6PII3,235,P
Q6PII3,462,P
Q6PII3,463,P
Q5SRI9,321,P
Q5SRI9,323,P
Q5SRI9,331,P
Q5SRI9,424,P
Q5SRI9,427,P
Q5SRI9,435,P
Q5SRI9,446,P
Q5SRI9,453,P
Q9NXH9,622,P
Q96A58,84,P
Q9Y3B1,112,P
Q8IYI6,455,P
Q16610,43,P
Q96DI7,310,P
Q96F24,119,P
